-55,87
-89,21
41,93
-1,36
-99,7
35,78
-58,07
-30,77
11,73
-9,44
98,88
-82,07
54,32
80,99
-59,33
35,65
-6,61
-13,89
88,16
-3,86
-99,91
-23,31
50,18
7,23
82,09
-25,48
81,13
27,17
27,05
79,57
59,81
-20,98
92,52
-77,07
41,84
-67,2
24,24
4,5
70,07
-26,42
-44,26
-58,36
27,18
-22,05
16,66
30,92
91,87
21,66
11,33
-72,51
-54,94
-1,97
-21,83
-79,34
59,89
67,36
46,39
-41,57
-9,97
-1,32
90,5
-74,45
77,14
67,88
-56,7
26,42
-74,05
28,35
-83,03
-30,18
-58,26
-88,7
-89,05
41,76
60,5
78,82
82,65
-92,96
-96,2
65,58
43,33
15,27
-18,11
-64,46
-94,75
-95,34
-60,63
82,02
-24,57
4,34
-52,09
-92,44
95,85
-70,91
10,38
-39,45
-65,28
-96,94
81,81
11,34
